metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,3,3,3,3,3
KVS,50,3,3,3,3,3
KVS,50,3,3,3,3,3
KVS,50,3,6,6,6,6
KVS,50,3,6,6,6,6
KVS,50,3,6,6,6,6
KVS,50,3,9,9,9,9
KVS,50,3,9,9,9,9
KVS,50,3,9,9,9,9
KVS,50,3,12,12,12,12
KVS,50,3,12,12,12,12
KVS,50,3,12,12,12,12
KVS,50,3,15,15,15,15
KVS,50,3,15,15,15,15
KVS,50,3,15,15,15,15
KVS,50,3,18,18,18,18
KVS,50,3,18,18,18,18
KVS,50,3,18,18,18,18
KVS,50,4,21,21,21,21
KVS,50,4,21,21,21,21
KVS,50,4,21,21,21,21
KVS,50,3,24,24,24,24
KVS,50,3,24,24,24,24
KVS,50,3,24,24,24,24
KVS,50,3,27,27,27,27
KVS,50,3,27,27,27,27
KVS,50,3,27,27,27,27
KVS,50,4,30,30,30,30
KVS,50,4,30,30,30,30
KVS,50,4,30,30,30,30
KVS,50,3,33,33,33,33
KVS,50,3,33,33,33,33
KVS,50,3,33,33,33,33
KVS,50,3,36,36,36,36
KVS,50,3,36,36,36,36
KVS,50,3,36,36,36,36
KVS,50,3,39,39,39,39
KVS,50,3,39,39,39,39
KVS,50,3,39,39,39,39
KVS,50,3,42,42,42,42
KVS,50,3,42,42,42,42
KVS,50,3,42,42,42,42
KVS,50,4,45,45,45,45
KVS,50,4,45,45,45,45
KVS,50,4,45,45,45,45
KVS,50,3,48,48,48,48
KVS,50,3,48,48,48,48
KVS,50,3,48,48,48,48
KVS,50,3,51,51,51,51
KVS,50,4,51,51,51,51
KVS,50,3,51,51,51,51
KVS,50,4,54,54,54,54
KVS,50,4,54,54,54,54
KVS,50,4,54,54,54,54
KVS,50,3,57,57,57,57
KVS,50,3,57,57,57,57
KVS,50,3,57,57,57,57
KVS,50,4,60,60,60,60
KVS,50,3,60,60,60,60
KVS,50,3,60,60,60,60
KVS,50,3,63,63,63,63
KVS,50,3,63,63,63,63
KVS,50,3,63,63,63,63
KVS,50,3,66,66,66,66
KVS,50,3,66,66,66,66
KVS,50,3,66,66,66,66
KVS,50,3,69,69,69,69
KVS,50,3,69,69,69,69
KVS,50,3,69,69,69,69
KVS,50,3,72,72,72,72
KVS,50,3,72,72,72,72
KVS,50,3,72,72,72,72
KVS,50,3,75,75,75,75
KVS,50,3,75,75,75,75
KVS,50,3,75,75,75,75
KVS,50,3,78,78,78,78
KVS,50,3,78,78,78,78
KVS,50,3,78,78,78,78
